row_index,fold,text,true_label,predicted_label,abusive_probability
13,2,Oh come ON... 1/10? That is fucking ridiculous... that's what you give a movie like Love Guru or one shot on a fucking celphone.,1,0,0.1
21,5,&#8220;@_WithFinesse: &#8220;@Shane_A1: Lol I 4got rose been dat nicca tho&#8221; #1 Never forget.&#8221;lol yee I was trippin,1,0,0.35
59,4,suntem dar ne gandem cum sa gasim o mascota care sa o putem scoate din dulap cand vrem sa acuzam pe cineva pt nenorocul nostru,1,0,0.085
92,1,idk y'all ppl that go/went to A&T ackin like y'all shocked about 70 bodies.. it was some first class hos at T that I knew personally,1,0,0.06
106,1,fuck... lemme know if you'd like to work at criagslist,1,0,0.1143701448014418
123,3,"&#8220;@BlizzyLC: @Vice504fly u need to be in someone's church negro!&#8221;ur absolutely right, but I work Sunday's but still no excuse.",1,0,0.105
133,4,@zfunk007 I like how his tattoo on his head forms a mullet. White trash people can be so entertaining sometimes,1,0,0.105
146,5,@Herman_NYRBlog he's am has no clue #heeb,1,0,0.02
156,1,"@aldofelix naw dude I wish, they're white trash",1,0,0.345
161,5,damn right it should be horrible stuff YUK!,1,0,0.05
211,2,@GallagherEmily nigra in da back,1,0,0.335
298,2,"Why would gay marriage ""change the basic structures"" of your family life? It neither picks your pocket not breaks your leg",1,0,0.015
310,3,LIES! I HATE HIM!,1,0,0.135
330,1,Oh man...that sucks!,1,0,0.1143701448014418
364,3,fuck off dude don't waste my time damn spam users again ...,1,0,0.06966408011672635
371,3,Remember that gurl u fight last year?,1,0,0.005
381,1,The guy who runs it is a major dick underpays or doesn't pay models. He's harassed me and belittled me.,1,0,0.045
486,2,I imagine. Another thing every time I open the Reader my subscription folders are ALL open. I hate that too.,1,0,0.01
639,5,@elchavaloko what's the difference between the three of the nig Nog's?,1,0,0.195
669,4,"""I'm a funky ass honkey."" - @jtimberlake 's shout out to @macklemore tonight before ""Cabaret"" &#128514; #JT2020Tour",1,0,0.235
680,2,DAMN tootin'? Seriously? I've heard DARN tootin' and even DERN tootin' but not DAMN tootin'! you kicked it up a notch.,1,0,0.04
722,3,ignorance is my guess - but this could very well turn into a nerd rant - and that would get @amberto all worked up,1,0,0.04
743,2,maybe you should go punch him in the dick.,1,0,0.02
776,4,AJULA NO DONT FUKIN TALK TU HERRR ! VVV,1,0,0.075
821,3,If your twitter is private but your Instagram is public u r probs a trash talking thot,1,0,0.06
878,4,Exactly! Damn cops disagree though,1,0,0.02
910,4,be careful! Hood pigeons don't give a FUCK and pack heat! I've been robbed by them on countless occasions!,1,0,0.12
961,1,Lol they tricking niccas left n right,1,0,0.445
974,4,"RT @WayneDupreeShow: MT @COACHKtoLA: @waynedupreeshow is paid by white supremacist, they always get a negro to do their dirty work #Fergus&#8230;",1,0,0.11
983,2,I'm sorry but this makes me feel so free. Like a fucking majestic bird. #gotonelessproblemwithoutya http://t.co/EKFOVVcWht,1,0,0.185
1064,5,fucking CHRIST i hate tutors and TAs. you literally get paid to teach retards to stop picking their nose. GET THE FUCK OUTTA MY FACE,1,0,0.135
1074,4,dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,1,0,0.055
1086,1,@Teets6 shit trash,1,0,0.27
1118,4,UNNNGGGG if he used that fucking word i'm never saying Epic Fail ever again..ooo i'd like to give him a sock in th..NEVERMIND!!,1,0,0.065
1126,4,@rikki_lovee @StephyRae7 @TheOneMiss_Luu @GabrielaAngela4 Lets hangout Monday nigs?,1,0,0.275
1162,3,@FenkellPayroll y'all niccas bout to blow fool!! Lol can't wait for the world to see this Detroit shit nicca!,1,0,0.425
1163,4,@Omgitstamz this ho Korina is craycray.,1,0,0.295
1212,1,You&;re Lame As Fuck .,1,0,0.215
1222,1,"""don't hate me cuz i'm beautiful."" jk. you're probably too young to have seen that commercial. HA. what's wrong chippers??",1,0,0.02
1281,5,-politicians should have to pass an ethics exam 2x yearly. I wonder if that's a piss test for them?,1,0,0.01
1404,5,@lillivonschtupp @13Damage @BrazenModels I don't likes dat magazine. All da black folk look like dey one chromeasome away from da ape,1,0,0.075
1455,3,ah damn ok,1,0,0.05
1460,4,RT @ChrisJustJoking: Its Halloween everyday for dykes,1,0,0.215
1494,1,you can fuck right off about that hoodie thieving comment,1,0,0.175
1510,1,What you know about getting money low key .. Hanging with the street niccas fukn wit the OG's,1,0,0.205
1551,3,"RT @TheCockiestMan: ""She's really nice when you get to know her!"" = She's a bitch but you'll get used to it.",1,0,0.465
1553,5,@JennaHord12 Nooo Amber's supposed to kill me fag,1,0,0.435
1570,5,hate it all you want but its a hit record. And Jumpin Out the Window is by Ron Browz. I know its gotta be hot in NY.,1,0,0.07
1584,2,RT @mtchll: Rock out with your cock out Jam out with your clam out,1,0,0.07
1602,1,@DebsFLPx I was lucky to be sensible and I've never had a fag or a drug. I'm pleased about that statistic. Yes I have a beer but that's all.,1,0,0.24
1660,4,too many grown man out here worryin' about the friendzone....yall got priorities fucked my nig,1,0,0.31
1716,1,Until next time rednecks &#128521; I'll see you again &#128525;&#127482;&#127480; @ Rednecks With Paychecks http://t.co/vg3nbXETzP,1,0,0.135
1721,2,im not Jewish im catholic so suck a dick,1,0,0.08
1754,3,The chinks really hunting their food... RT @WWLTV: Dog shot with arrow in N.O. East- http://t.co/q1KqT6STwl,1,0,0.055
1793,1,still got that ass whooped haha.,1,0,0.09
1803,2,@RishaaWilliams byee iverrishaa &#128514;&#128514; ghetto ass name,1,0,0.385
1817,1,"&#8220;@Highfromthe90s: A lot of women who claim they are yellow are actually red, color blind mother fuckas&#8221; I'm yellow tho &#128129;&#127773;",1,0,0.155
1844,3,"@JimmyMcIver @jerrilyn71 @Doc_68W_ Just like ""FAT CHICKS NEED LOVE TOO"" I guess. Some Jeffrey Dommer Type would be all over that sloppy ho.",1,0,0.09
1873,1,If only Edward and Bella were slightly less emo :),1,0,0.005
1931,4,got it .. and I have read that! Gonna re-read tho..Im stuck and have been for a while..sucks! Thx for help--love ur stuff.,1,0,0.01
1936,2,@twincitytyson if somehow u didn't already go I'm down nig,1,0,0.24
1938,1,whatever about the Gay Byrne voiceover shame on Eason's for running Christmas ads in early November!..,1,0,0.03
1961,1,another downside to living in DSM but working in Indianola: lunch meetups are usually not possible. :( damn isolation!!!,1,0,0.035
1969,1,it's cos we're old now. sucks.,1,0,0.06
1976,3,RT @curlyhairkilla: You gotta be a really weak bitch to let somebody's tweets offend you ...especially if you never met the person,1,0,0.445
1994,4,@JimNastikowski @3Quarters2Day ? Are you a race traitor or just a dumbass?,1,0,0.1
2020,3,ah damn man! Good Luck!! You can do eeeeit!!!,1,0,0.035
2097,1,I don't always agree with you... but I do this time! Slow the hell down and stop getting so emo about it.,1,0,0.015
2117,4,I have such a horrible perspective of time. I think I might be retarded smh,1,0,0.225
2122,5,"I like to look at it as ""meeting their needs"" not necessarily ""kissing ass""... although if you can do both - do!",1,0,0.05
2130,1,"My duck got big as fuck. Yes, duck, like the bird.",1,0,0.22937014480144177
2151,1,what do you use then? cuz I hate Itunes,1,0,0.015
2182,3,Pass interference you dumb ass zebra jerks,1,0,0.18
2242,3,work stressing over this damn AE meeting we are having @ 11am.,1,0,0.035
2246,4,But this emotional shit is absolutely for the birds.....,1,0,0.365
2255,2,"RT @MAKEUP_SEX: trash talked by many . hated by some . & guess how many fucks i give , its less than one .",1,0,0.205
2261,3,"@Pacific_Tomb yeah, us crackers are the devil.",1,0,0.025
2302,1,"@KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard & disperse this trash. @bassem_masri",1,0,0.175
2319,1,yea you'll fuck around and get that ASS tapped tomorrow u keep talking reckless like you are doing,1,0,0.15
2350,5,"""@A7XDemery: I'm a fucking fag they said""",1,0,0.42
2378,2,I thinks you meant to say that TWILIGHT was epic fail not your mistake. I hate stephanie meyer and I've never even met her.,1,0,0.02
2391,5,"@twittwithjosh @cher oh, see cher? see what your particular brand vitriol creates? A boy who thinks it's ok to call a woman a cunt. #libtard",1,0,0.475
2397,4,ohh damn bummer,1,0,0.045
2517,5,"Only a FUCKIN"" #retard #liberal would think #XMen is about ""them"". No. #JesusChrist WAS A #MUTANT&gt;",1,0,0.335
2577,1,@TonyO97 fuck i look like shopping at that trash ass store,1,0,0.255
2601,2,Haha no I mean that I love the money & my coworkers but hate how much time the jobs take up. It is fun to hate them though.,1,0,0.03
2773,2,@tkdfighter He gotta be colored,1,0,0.075
2853,1,That's gay. Poor MCR.,1,0,0.27
2937,1,So far today every time I try to load an article from the Blaze on Twitter the site crashes. WTF is Selibus doing now the cunt,1,0,0.37
2954,4,@percolate @kcraigwell what's next? fingers in dykes?,1,0,0.185
3030,4,"""@sniffsockslad: Need these sox http://t.co/xydb1RchXh"" fuck yeah. I love a kinky scally lad w/ rank sox and sneaks",1,0,0.28
3055,4,that sucks... so are there plans to get back together? or are they done?,1,0,0.02
3063,5,@RealSkipBayless haha how much are you payed to CONSTANTLY NOT KNOW what you're talking about??? Dumb ass &#128514;&#128076; wade is trash,1,0,0.165
3078,3,&#8220;@cierravillela yeah it's really far and it's alright if you like living by a whole lot of hicks haha,1,0,0.105
3105,1,this ho on Lifetime cray,1,0,0.245
3244,2,it's the damn music ugh terrible!,1,0,0.06
3350,1,"Are you laughing your ass off with all these ""juicy"" twits?",1,0,0.105
3364,1,RT @AnAbsurdBird: Of course the day I nip out with shit hair & wearing my scruffy/but favourite stolen hoodie is the best time to bump into&#8230;,1,0,0.145
3421,1,You ruin fucking everything.,1,0,0.055
3446,2,I don't respect money ... Respect real niccas!,1,0,0.47
3537,1,you're not cool suck my dick,1,0,0.07
3539,1,oh no!! that sucks!,1,0,0.06
3564,2,"@caitnicole3 I'm not sure, I'm a broke nig &#128542;",1,0,0.345
3608,2,what if it could be all 3 that would stink on 2 levels but I bet it is a fat bonus or ur picking up his backyard,1,0,0.04
3650,5,"RT @TransaparenT: ""Hi mom, last night I was cunt slapping when you texted me about grandpas bypass, sorry I didn't get back to you until no&#8230;",1,0,0.42
3675,1,Naw. I gave him tomorrow off. Fuck my carpet's a mess.,1,0,0.115
3676,5,um coz you're awesome? and on another note...yo gabba gabba is fucking disturbing,1,0,0.095
3769,2,"You got dykes, I got the Vic's",1,0,0.305
3857,4,damn I'm behind,1,0,0.0
3861,1,wow that sucks.,1,0,0.03
3880,4,oic but what do you want sir? Did I get you a book on conspiracies and shit already? Yes I did hmmmm fuck thinks,1,0,0.155
3901,2,Hey at leat you got SOMETHING. Know what we get at work as I found out 2day? NADDA! Bah hum bug! Damn scrooges!,1,0,0.035
3944,1,Tommy blows cock! lol,1,0,0.085
3958,3,so cold ma nig,1,0,0.275
3963,1,"I got .05"" of rain yesterday including the bird shit in my gauge.",1,0,0.355
4204,4,"@DignifiedPurity LMAOOO @ ""black fag""..... why did I misread that??... I'm blocking you",1,0,0.435
4246,1,Ain't nuttin but a white trash party.,1,0,0.405
4268,2,Fight me RT @rob_b1991: 0 cuz they're trash RT @Markie__Marc: How many 50-cent corn dogs did you order today?,1,0,0.065
4310,3,Shut the fuck up you fucking cunt!,1,0,0.315
4338,2,the #genesis of my tna watching is so bad I can't even mock-live tweet it,1,0,0.03
4348,2,@mckinley719 @UberFacts Mmm no thanks I've been saving mine up for this point in time....fucking queer....,1,0,0.07
4350,3,Gov. Rick Scott Kicks Charlie Crist&#8217;s Ass http://t.co/x6kOQsVCUa,1,0,0.03
4372,2,LOL I did zackly same thing! BTW thanks for leading me to @ChipEFT Just reqd Born Loser's Guide to Abundance! http://rurl.org/18kr,1,0,0.015
4402,3,Pennsylvania is white trash and is so are all Pennsylvanians.,1,0,0.5
4404,5,can I have some? pizza in NC sucks :),1,0,0.03
4455,2,Westside nicca!,1,0,0.405
4458,2,Sony Vegas = fucking amazing! :D,1,0,0.03
4472,5,ok I take you off of my hate list and send you hugs I am in business..this is my alter ego. mwahahah,1,0,0.025
4517,4,fuck sleep you gotta stay up late so u can see santa!,1,0,0.2
4543,3,lmfao! bad ass!,1,0,0.005
4560,5,fuckery is always welcomed..only second to hate. Speaking of which...I haven't told you how much I hate you lately,1,0,0.075
4630,1,Ah so it was tough to hear about over and over... That sucks man. Sure its been tough.,1,0,0.025
4631,4,@jasongregory674 @Devondude1234 @hot_lads fuck yeah and hot big blk boots. This scally lad would get it.,1,0,0.175
4678,5,&#8220;@dirtyxluxury: @_Vontethekidd whens homecoming ho?&#8221;&#128553;&#128514; slut the 17th,1,0,0.355
4699,1,Ion like the ho cause she talk to mf much with ha real butt ugly ass dumb young ass ho &#128553;&#128074;&#128522;&#128299;&#128591;&#128079;&#128530;&#9996;&#65039;,1,0,0.285
4700,5,@MikeTheStatey #Sequester Den the fat colored girl chased me down day street while she swingin da table wit one arm... I wants my pay!!!,1,0,0.025
4739,5,i hate having to wait till jan. for the big game lol tedious i tell ya,1,0,0.05
4744,5,Sorry man hope you stop ass bleeding soon. (wow that was awkward just thinking about it),1,0,0.02
4758,5,Cooking breakfast in the nude is wifey status? Fuck no. I have actually cooked before & I aint about to get no grease burns on my nips!&#128562;&#128565;,1,0,0.15
4762,1,try putting lemon peels around the base of the tree; supposedly cats hate citrus smell,1,0,0.035
4818,5,"""So he's a good football player...but he still acts like a nig""",1,0,0.265
4838,2,Nice base running again by the @Yankees. Fucking ponderous.,1,0,0.06
4852,4,A guy on True Blood is getting his penis inspected and the doctor told him it look like an eggplant &#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;&#127814;,1,0,0.035
4853,4,I wanna butt fuck you. Cuz im a horny gremlin,1,0,0.285
4865,2,yuck... that is going to take a long ass time...,1,0,0.005
4875,3,RT @NoBeeetch: Just annouced to my hoes who I'm drafting first round for cuffing season http://t.co/o1A0OqaXUt,1,0,0.495
4906,5,ARGH! I hate that too!,1,0,0.0943701839423316
4963,1,WOOT!! 8 pounds is AWESOME! YES you can! 1 pound at a time... I need to get my ass in gear ;),1,0,0.025
4966,3,agreed. UGO sucks ass,1,0,0.13
4967,1,this pastor is a homophobic racist person who compares gay people to pedophiles. THIS IS NOT THE 1900S,1,0,0.06
5007,3,@NorahODonnell dishing Texas trash talking pts with racist @jdickerson maybe if GBush had apologize for all his sins he wouldn't be hiding,1,0,0.025
5073,2,I'd drive me crazy to have to be at that ghetto ass school everyday.,1,0,0.035
5097,1,i SENT it!!!!!!!! u'll prob get it in like a billion years since cingular SUCKS!!!!,1,0,0.055
5141,4,Bitches always think somebody want them or they little coochie lol chilling dont exist nomore ? Iont want yall hoes,1,0,0.475
