row_index,fold,text,true_label,predicted_label,abusive_probability
1,3,I got no respect for hoe stuff,0,1,0.56
11,4,or better yet when you wake up early the next day phone them back and wake em up. Payback is a bitch ;),0,1,0.73
36,3,stupid teacher talks to @RandyMower like he's retarded,0,1,0.535
56,3,i'm not an asshole i'm a bitch THE BITCH!! get it right or i'll kick you again...,0,1,0.79
76,5,nigga u fresh as fuck.!,0,1,0.66
197,5,he he and some people bitch about never hearing back from them ;-),0,1,0.78
199,3,come to Dothan bitch. You'll find someone to make out with fast.,0,1,0.725
442,3,lol fairr enough :L Putting them up is a bitch though.,0,1,0.59
458,4,No girls no hoes just me myself and I,0,1,0.825
528,1,Dis nicca lame,0,1,0.625
566,1,somewhat. now i know what i whiney stupid bitch Bella is. :) i got it basically for my mom though.,0,1,0.675
585,1,Yeah bitch some more your parents are dead and no one adopted you get over it.,0,1,0.735
605,2,www.cantstopthis.net fag. It's this upcoming saturday.,0,1,0.545
668,5,LACEY'Z A BITCH WTF LOL,0,1,0.935
729,1,too bad I don't want you to taste my juicy pussy.,0,1,0.73
732,5,that's hilarious: environmental sensitivity = hippie stink? i know the snow + roads in sea = bitch but it's a 1 in 30 yr deal.,0,1,0.685
733,5,"Och hoe wonderbaarlijk dat Jan het alweer met n Marokkaanse BNer aan de stok heeft. Na Fatima, Lamyea, Tofik, nu ook Abdelka te min gevonden",0,1,0.515
816,2,Sorry I didn't end that sentence properly. Bitch.,0,1,0.68
863,5,"All these hoes trife I can never cuff , I've been hurt before so I can never give a really",0,1,0.555
925,3,"Wrote a song about it. Like hear it here it go: ""Duck bitch Duck-I throw my left shoe out-Duck bitch Duck""",0,1,0.775
1090,1,Vote or die bitch!,0,1,0.925
1286,5,honestly I can't say I'm not guilty of telling that same lie a time or two. Karma is a bitch. Hope your check arrives soon,0,1,0.69
1389,1,Will they be your bitch?,0,1,0.815
1424,5,RT @FriendlyAssh0le: Todays Horoscope: you're still a hoe That is all. have a nice day,0,1,0.625
1483,3,DRUGS&gt; Is why #Giants are losing. Just ask #barrybonds and the HEDGE BET FUND&gt; #WorldSeriesGame6 #faggots,0,1,0.77
1513,3,Your at a club && a bitch gives you a dirty look & starts laughing while pointing at you! You _______?(WHAT DO YOU DO) guys;; Do you start drama or are you the ones who shrug it off?,0,1,0.505
1632,1,"you know...""queen"" is poet for ""bitch""",0,1,0.725
1686,1,"RT @JakeG_BasedGod: ""Never go full retard""",0,1,0.52
