record_id,text,label,label_name,language,word_count,char_count
AAA-00001,"A homeless dog living in a trash pile gets rescued, and then does something amazing! Please share. http://t.co/SzpStdxmn6 via @youtube",0,Non-Abusive,English,20,134
AAA-00002,I got no respect for hoe stuff,0,Non-Abusive,English,7,30
AAA-00003,that sucks. Where are you trying to watch it?,0,Non-Abusive,English,9,45
AAA-00004,#TweetLikePontiacHolmes&#160; I do the Pontiac sprinkler... Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,1,Abusive,English,18,127
AAA-00005,last year me and my friends spent alot of money there. one of my friends took 300$ with her and spent it all in 1 day. sucks 4 her,0,Non-Abusive,English,29,130
AAA-00006,"Well ""That n*gga sucks"" and what? Lol Im kiddin :-)",0,Non-Abusive,English,10,51
AAA-00007,not at all!!! I smile too much,0,Non-Abusive,English,7,30
AAA-00008,Myspace players seem to hate me. But whatever it is it will never be as good as Grandpa's Last Christmas,0,Non-Abusive,English,20,104
AAA-00009,For some damn reason I can't no freakin idea my blocks haven't been working right lately,0,Non-Abusive,English,16,88
AAA-00010,RT @TheOrlandoJones: Funny how people who take their fantasy sports leagues very seriously are celebrated while those who play D&D are mock&#8230;,0,Non-Abusive,English,22,146
AAA-00011,"Bomb your house, Then fuck your bitch. All hail Al Qaeda",1,Abusive,English,11,56
AAA-00012,or better yet when you wake up early the next day phone them back and wake em up. Payback is a bitch ;),0,Non-Abusive,English,23,103
AAA-00013,"""You look like little birds help you get dressed in the morning""",0,Non-Abusive,English,12,64
AAA-00014,Oh come ON... 1/10? That is fucking ridiculous... that's what you give a movie like Love Guru or one shot on a fucking celphone.,1,Abusive,English,24,128
AAA-00015,no worries Ryan - I'll send some home with Kelly or else it'll end up on my ass.,0,Non-Abusive,English,18,80
AAA-00016,Dat bitch mouth made da honor roll,1,Abusive,English,7,34
AAA-00017,@BriannaLovesA my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.,0,Non-Abusive,English,26,124
